"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL020484-RA","AAEL020484","A0A0P6IVP9","aae-miR-305-5p",-28.34,601,625,185
"AAEL020484-RA","AAEL020484","Q17ET2","aae-miR-305-5p",-28.34,601,625,185
"AAEL004151-RF","AAEL004151","Q0IFR8","aae-miR-305-5p",-28.02,88,110,172
"AAEL004151-RF","AAEL004151","Q1HRL5","aae-miR-305-5p",-28.02,88,110,172
"AAEL027412-RA","AAEL027412","A0A1S4EWX1","aae-miR-305-5p",-23.75,454,476,171
"AAEL013170-RA","AAEL013170","A0A1S4FYE2","aae-miR-305-5p",-19.22,244,267,170
"AAEL013170-RA","AAEL013170","Q16JY8","aae-miR-305-5p",-19.22,244,267,170
"AAEL020461-RA","AAEL020461","UPI000B788CA0","aae-miR-305-5p",-17.78,372,395,170
"AAEL004399-RB","AAEL004399","Q17CY4","aae-miR-305-5p",-20.46,950,975,169
"AAEL004399-RB","AAEL004399","W8PGR8","aae-miR-305-5p",-20.46,950,975,169
"AAEL004559-RE","AAEL004559","UPI000937A841","aae-miR-305-5p",-18.78,3205,3229,169
"AAEL004559-RF","AAEL004559","UPI000936EDAA","aae-miR-305-5p",-18.78,3272,3296,169
"AAEL004559-RH","AAEL004559","UPI0009371A80","aae-miR-305-5p",-18.78,3272,3296,169
"AAEL004559-RK","AAEL004559","UPI00093616D8","aae-miR-305-5p",-18.78,3205,3229,169
"AAEL008171-RA","AAEL008171","A0A1S4FIN9","aae-miR-305-5p",-18.15,765,788,169
"AAEL008171-RA","AAEL008171","Q16ZI1","aae-miR-305-5p",-18.15,765,788,169
"AAEL008171-RB","AAEL008171","UPI000B77BAB4","aae-miR-305-5p",-18.15,765,788,169
"AAEL001399-RA","AAEL001399","A0A1S4EYP2","aae-miR-305-5p",-17.96,23,47,169
"AAEL001399-RA","AAEL001399","Q17LB4","aae-miR-305-5p",-17.96,23,47,169
"AAEL009861-RD","AAEL009861","Q16UL2","aae-miR-305-5p",-18.5,19,45,168
"AAEL008166-RA","AAEL008166","A0A1S4FIY1","aae-miR-305-5p",-18.14,46,68,168
"AAEL008166-RA","AAEL008166","Q16ZI5","aae-miR-305-5p",-18.14,46,68,168
"AAEL013846-RH","AAEL013846","Q16EF2","aae-miR-305-5p",-20.73,46,69,167
"AAEL006473-RA","AAEL006473","Q176A9","aae-miR-305-5p",-18.95,1171,1194,167
"AAEL003918-RC","AAEL003918","UPI000B77F3CD","aae-miR-305-5p",-17.6,1,23,167
"AAEL003918-RD","AAEL003918","Q17E58","aae-miR-305-5p",-17.6,1,23,167
"AAEL027002-RA","AAEL027002","UPI000B798D76","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RB","AAEL027002","UPI000B77A271","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RC","AAEL027002","Q16I23","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RD","AAEL027002","UPI000B76F21B","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RF","AAEL027002","UPI000B7952E7","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RJ","AAEL027002","A0A0P6IVF2","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RJ","AAEL027002","A0A0P6IVZ6","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RK","AAEL027002","UPI000B78CB4B","aae-miR-305-5p",-27.42,116,137,166
"AAEL027002-RL","AAEL027002","UPI000B77EF65","aae-miR-305-5p",-27.42,116,137,166
"AAEL000234-RH","AAEL000234","UPI000B773D65","aae-miR-305-5p",-25.91,111,134,166
"AAEL010322-RA","AAEL010322","Q0IEH8","aae-miR-305-5p",-23.6,101,124,166
"AAEL008046-RA","AAEL008046","Q16ZV6","aae-miR-305-5p",-22.28,97,121,166
"AAEL008046-RA","AAEL008046","Q5BP96","aae-miR-305-5p",-22.28,97,121,166
"AAEL008046-RB","AAEL008046","UPI000B76EB14","aae-miR-305-5p",-22.28,170,194,166
"AAEL008046-RC","AAEL008046","UPI000B788CF8","aae-miR-305-5p",-22.28,210,234,166
"AAEL022457-RA","AAEL022457","A0A0P6IY59","aae-miR-305-5p",-19.61,48,71,166
"AAEL001281-RB","AAEL001281","UPI000B78E588","aae-miR-305-5p",-19.33,232,254,166
"AAEL001281-RC","AAEL001281","UPI000B77D9BF","aae-miR-305-5p",-19.33,232,254,166
"AAEL001281-RD","AAEL001281","UPI000B78672C","aae-miR-305-5p",-19.33,232,254,166
"AAEL001281-RE","AAEL001281","UPI000B7703B0","aae-miR-305-5p",-19.33,232,254,166
