"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL020033-RA","AAEL020033","UPI000B79A348","aae-miR-3368-5p",-20.03,750,769,173
"AAEL020033-RB","AAEL020033","UPI000B783423","aae-miR-3368-5p",-20.03,1169,1188,173
"AAEL020033-RC","AAEL020033","UPI000B76F132","aae-miR-3368-5p",-20.03,750,769,173
"AAEL020033-RE","AAEL020033","UPI000B780B22","aae-miR-3368-5p",-20.03,750,769,173
"AAEL020033-RF","AAEL020033","UPI000B783905","aae-miR-3368-5p",-20.03,1169,1188,173
"AAEL023585-RB","AAEL023585","A0A1S4FH07","aae-miR-3368-5p",-18.74,26,45,173
"AAEL023585-RB","AAEL023585","Q171M1","aae-miR-3368-5p",-18.74,26,45,173
"AAEL023585-RB","AAEL023585","Q16JM4","aae-miR-3368-5p",-18.74,26,45,173
"AAEL019506-RA","AAEL019506","A0A0P6IXC1","aae-miR-3368-5p",-25.59,2033,2053,172
"AAEL019506-RA","AAEL019506","Q173N0","aae-miR-3368-5p",-25.59,2033,2053,172
"AAEL007450-RA","AAEL007450","Q172C2","aae-miR-3368-5p",-20.07,457,476,169
"AAEL007450-RA","AAEL007450","A0A1S4FGI2","aae-miR-3368-5p",-20.07,457,476,169
"AAEL005201-RA","AAEL005201","Q17AU0","aae-miR-3368-5p",-22.52,323,343,167
"AAEL026894-RA","AAEL026894","J9EBG6","aae-miR-3368-5p",-19.51,198,217,166
"AAEL004132-RE","AAEL004132","UPI000B77DF7A","aae-miR-3368-5p",-17.67,61,81,165
"AAEL004132-RF","AAEL004132","UPI000B78E2A1","aae-miR-3368-5p",-17.67,61,81,165
"AAEL004980-RA","AAEL004980","Q17BE1","aae-miR-3368-5p",-22.88,10,28,164
"AAEL006682-RD","AAEL006682","A0A1S4G291","aae-miR-3368-5p",-20.9,158,177,164
"AAEL000053-RA","AAEL000053","Q0C7A8","aae-miR-3368-5p",-20.09,662,683,164
"AAEL026496-RA","AAEL026496","Q0C773","aae-miR-3368-5p",-15.29,178,197,162
"AAEL019841-RB","AAEL019841","A0A1S4FCI3","aae-miR-3368-5p",-14.24,283,302,162
"AAEL019841-RB","AAEL019841","A0A0P6JRZ2","aae-miR-3368-5p",-14.24,283,302,162
"AAEL019841-RB","AAEL019841","Q177R3","aae-miR-3368-5p",-14.24,283,302,162
"AAEL010462-RA","AAEL010462","Q16SX3","aae-miR-3368-5p",-19.74,2068,2091,161
"AAEL010414-RA","AAEL010414","A0A1S4FQ86","aae-miR-3368-5p",-16.42,628,647,161
"AAEL010414-RA","AAEL010414","Q16T26","aae-miR-3368-5p",-16.42,628,647,161
"AAEL010414-RB","AAEL010414","UPI000B76C579","aae-miR-3368-5p",-16.42,628,647,161
"AAEL020425-RA","AAEL020425","UPI0010A5A20D","aae-miR-3368-5p",-19.05,1001,1020,160
"AAEL009806-RB","AAEL009806","A0A0P6IU78","aae-miR-3368-5p",-18.36,742,760,160
"AAEL009806-RB","AAEL009806","Q16UU7","aae-miR-3368-5p",-18.36,742,760,160
"AAEL024005-RA","AAEL024005","UPI000B794163","aae-miR-3368-5p",-17.03,788,806,160
"AAEL024005-RB","AAEL024005","UPI000B788D5A","aae-miR-3368-5p",-17.03,788,806,160
"AAEL026751-RA","AAEL026751","A0A1S4EYU4","aae-miR-3368-5p",-19.37,277,296,158
"AAEL026751-RA","AAEL026751","Q17L15","aae-miR-3368-5p",-19.37,277,296,158
"AAEL027951-RA","AAEL027951","Q8MQU7","aae-miR-3368-5p",-17.6,25,44,158
"AAEL027951-RA","AAEL027951","A0A1S4F4W7","aae-miR-3368-5p",-17.6,25,44,158
"AAEL027951-RA","AAEL027951","Q17F73","aae-miR-3368-5p",-17.6,25,44,158
"AAEL018181-RA","AAEL018181","Q16VB5","aae-miR-3368-5p",-15.57,12,31,158
"AAEL018181-RA","AAEL018181","A0A1S4G7S6","aae-miR-3368-5p",-15.57,12,31,158
"AAEL018181-RA","AAEL018181","A0A0P6IV71","aae-miR-3368-5p",-15.57,12,31,158
"AAEL018181-RB","AAEL018181","UPI000B77DAFF","aae-miR-3368-5p",-15.57,12,31,158
"AAEL018181-RC","AAEL018181","A0A0P6JSJ9","aae-miR-3368-5p",-15.57,12,31,158
"AAEL018181-RC","AAEL018181","Q16VB7","aae-miR-3368-5p",-15.57,12,31,158
"AAEL003794-RB","AAEL003794","Q17EJ7","aae-miR-3368-5p",-15.4,1116,1135,158
"AAEL003794-RB","AAEL003794","A0A1S4F5P8","aae-miR-3368-5p",-15.4,1116,1135,158
"AAEL006071-RB","AAEL006071","UPI000B77A52F","aae-miR-3368-5p",-15.31,823,843,158
"AAEL006071-RC","AAEL006071","Q16K60","aae-miR-3368-5p",-15.31,823,843,158
"AAEL006071-RD","AAEL006071","UPI000B78A3A7","aae-miR-3368-5p",-15.31,823,843,158
"AAEL006071-RG","AAEL006071","Q16K61","aae-miR-3368-5p",-15.31,823,843,158
"AAEL006071-RH","AAEL006071","Q177Q0","aae-miR-3368-5p",-15.31,823,843,158
"AAEL006071-RH","AAEL006071","Q16K62","aae-miR-3368-5p",-15.31,823,843,158
"AAEL020340-RA","AAEL020340","UPI000B782EDA","aae-miR-3368-5p",-21.65,715,734,157
"AAEL020340-RB","AAEL020340","UPI000B78A505","aae-miR-3368-5p",-21.65,715,734,157
"AAEL020340-RC","AAEL020340","UPI000B78CD18","aae-miR-3368-5p",-21.65,715,734,157
"AAEL020340-RD","AAEL020340","Q17GJ4","aae-miR-3368-5p",-21.65,715,734,157
"AAEL020340-RD","AAEL020340","Q17GJ5","aae-miR-3368-5p",-21.65,715,734,157
"AAEL020340-RE","AAEL020340","UPI000B78AA9E","aae-miR-3368-5p",-21.65,715,734,157
"AAEL005580-RA","AAEL005580","Q179M8","aae-miR-3368-5p",-15.99,32,51,157
"AAEL014931-RC","AAEL014931","A0A1S4G3M2","aae-miR-3368-5p",-15.06,250,269,157
"AAEL014931-RC","AAEL014931","Q16F19","aae-miR-3368-5p",-15.06,250,269,157
"AAEL005985-RA","AAEL005985","Q177Z0","aae-miR-3368-5p",-14.62,1009,1028,157
"AAEL005985-RB","AAEL005985","UPI000B76C789","aae-miR-3368-5p",-14.62,1009,1028,157
