"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL010205-RB","AAEL010205","Q16TK1","aae-miR-3722-5p",-34.56,486,504,172
"AAEL010205-RC","AAEL010205","Q16TK2","aae-miR-3722-5p",-34.56,486,504,172
"AAEL006864-RB","AAEL006864","A0A0P6JRM5","aae-miR-3722-5p",-32.23,96,116,169
"AAEL006864-RB","AAEL006864","A0A1S4FEY5","aae-miR-3722-5p",-32.23,96,116,169
"AAEL002879-RAA","AAEL002879","UPI000B780121","aae-miR-3722-5p",-21.57,4594,4613,166
"AAEL002879-RAB","AAEL002879","UPI000B77BE37","aae-miR-3722-5p",-21.57,4594,4613,166
"AAEL002879-RB","AAEL002879","Q16ER8","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RB","AAEL002879","Q16VG8","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RC","AAEL002879","Q17GV6","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RD","AAEL002879","UPI000B79297B","aae-miR-3722-5p",-21.57,4594,4613,166
"AAEL002879-RE","AAEL002879","UPI000B7873E5","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RF","AAEL002879","UPI000B771B6A","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RG","AAEL002879","UPI000B77D083","aae-miR-3722-5p",-21.57,4594,4613,166
"AAEL002879-RN","AAEL002879","UPI000B780313","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RP","AAEL002879","UPI000B77D17D","aae-miR-3722-5p",-21.57,4410,4429,166
"AAEL002879-RV","AAEL002879","UPI000B78FE31","aae-miR-3722-5p",-21.57,4594,4613,166
"AAEL008102-RA","AAEL008102","Q0IER6","aae-miR-3722-5p",-20.37,81,100,166
"AAEL008102-RA","AAEL008102","A0A1S4FIH6","aae-miR-3722-5p",-20.37,81,100,166
"AAEL013679-RA","AAEL013679","Q16IH1","aae-miR-3722-5p",-22.98,30,52,165
"AAEL013679-RA","AAEL013679","Q16FK9","aae-miR-3722-5p",-22.98,30,52,165
"AAEL024768-RA","AAEL024768","UPI000B79212E","aae-miR-3722-5p",-22.67,808,828,165
"AAEL020403-RA","AAEL020403","UPI000B772C7F","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL020403-RE","AAEL020403","A0A1S4FXB1","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL020403-RE","AAEL020403","A0A1S4G4U4","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL020403-RE","AAEL020403","Q16KW9","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL020403-RE","AAEL020403","Q1DGF8","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL020403-RG","AAEL020403","UPI000B78F1AA","aae-miR-3722-5p",-28.74,2401,2421,164
"AAEL001925-RB","AAEL001925","Q1DGR9","aae-miR-3722-5p",-22.26,1580,1598,164
"AAEL001925-RB","AAEL001925","Q17JQ0","aae-miR-3722-5p",-22.26,1580,1598,164
"AAEL001925-RB","AAEL001925","Q17JP9","aae-miR-3722-5p",-22.26,1580,1598,164
