"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL021365-RA","AAEL021365","UPI0010A5A533","aae-miR-10-5p",-16.65,6796,6817,168
"AAEL028215-RA","AAEL028215","UPI000B76FD00","aae-miR-10-5p",-20.49,407,428,167
"AAEL008623-RA","AAEL008623","Q16Y80","aae-miR-10-5p",-20.35,783,806,167
"AAEL008623-RA","AAEL008623","A0A1S4FJY4","aae-miR-10-5p",-20.35,783,806,167
"AAEL014566-RB","AAEL014566","Q1DH67","aae-miR-10-5p",-24.04,1985,2005,166
"AAEL014566-RB","AAEL014566","A0A1S4G2M1","aae-miR-10-5p",-24.04,1985,2005,166
"AAEL014566-RC","AAEL014566","UPI000B78D64A","aae-miR-10-5p",-24.04,1985,2005,166
"AAEL026535-RA","AAEL026535","UPI000B794F74","aae-miR-10-5p",-22.05,679,699,166
"AAEL026535-RB","AAEL026535","UPI000B788470","aae-miR-10-5p",-22.05,679,699,166
"AAEL026535-RC","AAEL026535","A0A1S4FYV6","aae-miR-10-5p",-22.05,679,699,166
"AAEL026535-RC","AAEL026535","Q16JA6","aae-miR-10-5p",-22.05,679,699,166
"AAEL006140-RA","AAEL006140","A0A1S4FCP1","aae-miR-10-5p",-21.51,383,406,166
"AAEL006140-RA","AAEL006140","Q177G3","aae-miR-10-5p",-21.51,383,406,166
"AAEL001434-RA","AAEL001434","A0A1S4EYR7","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL001434-RB","AAEL001434","UPI000B793B94","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL001434-RD","AAEL001434","UPI000B797BE6","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL001434-RE","AAEL001434","Q17L99","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL001434-RE","AAEL001434","A0A0P6IYH1","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL001434-RG","AAEL001434","Q17LA0","aae-miR-10-5p",-23.14,1476,1498,164
"AAEL024283-RH","AAEL024283","Q176R3","aae-miR-10-5p",-22.44,8,31,164
"AAEL024283-RH","AAEL024283","M4JBV8","aae-miR-10-5p",-22.44,8,31,164
"AAEL024283-RH","AAEL024283","M4JC14","aae-miR-10-5p",-22.44,8,31,164
"AAEL024283-RK","AAEL024283","UPI000B7783D9","aae-miR-10-5p",-22.44,8,31,164
"AAEL014526-RB","AAEL014526","A0A0P6IVD0","aae-miR-10-5p",-20.52,14,34,163
"AAEL014526-RB","AAEL014526","Q16G45","aae-miR-10-5p",-20.52,14,34,163
"AAEL027978-RA","AAEL027978","A0A1S4FQT3","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAA","AAEL027978","UPI000B7709E4","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAB","AAEL027978","UPI000B77EC6D","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAC","AAEL027978","UPI000B76F137","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAD","AAEL027978","UPI000B774A49","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAE","AAEL027978","UPI000B78468E","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAF","AAEL027978","UPI000B76E7E3","aae-miR-10-5p",-22.25,1451,1472,161
"AAEL027978-RAG","AAEL027978","UPI000B7984AB","aae-miR-10-5p",-22.25,1451,1472,161
