"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL008478-RA","AAEL008478","A0A1S4FJL0","aae-miR-276-3p",-24.07,210,231,166
"AAEL008478-RB","AAEL008478","Q16YP4","aae-miR-276-3p",-24.07,210,231,166
"AAEL003214-RA","AAEL003214","A0A1S4F470","aae-miR-276-3p",-19.3,65,85,166
"AAEL003214-RA","AAEL003214","Q17FY4","aae-miR-276-3p",-19.3,65,85,166
"AAEL004344-RB","AAEL004344","UPI000B76E0A6","aae-miR-276-3p",-19.82,493,514,164
"AAEL004344-RD","AAEL004344","Q17D31","aae-miR-276-3p",-19.82,493,514,164
"AAEL004344-RD","AAEL004344","A0A1S4F7B5","aae-miR-276-3p",-19.82,493,514,164
"AAEL006035-RB","AAEL006035","A0A1S4G7N8","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL006035-RB","AAEL006035","A0A0N8ES03","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL006035-RC","AAEL006035","UPI000B77C482","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL006035-RE","AAEL006035","Q177T3","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL006035-RF","AAEL006035","UPI000B79620F","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL006035-RK","AAEL006035","Q177T2","aae-miR-276-3p",-23.11,4225,4246,163
"AAEL009376-RA","AAEL009376","Q16VZ9","aae-miR-276-3p",-18.51,36,56,163
"AAEL017204-RA","AAEL017204","J9HZW5","aae-miR-276-3p",-24.34,739,762,161
"AAEL024430-RA","AAEL024430","A0A1S4F8H0","aae-miR-276-3p",-18.29,41,61,161
"AAEL024430-RA","AAEL024430","Q0IFL4","aae-miR-276-3p",-18.29,41,61,161
"AAEL000324-RB","AAEL000324","A0A0P6IW15","aae-miR-276-3p",-23.05,16,37,160
"AAEL000324-RB","AAEL000324","Q17PG3","aae-miR-276-3p",-23.05,16,37,160
"AAEL001379-RA","AAEL001379","Q17LG1","aae-miR-276-3p",-18.82,1829,1848,160
"AAEL014059-RA","AAEL014059","Q16HD8","aae-miR-276-3p",-17.37,498,517,160
"AAEL017167-RB","AAEL017167","J9HTK5","aae-miR-276-3p",-17,382,400,160
"AAEL017167-RB","AAEL017167","A0A1S4G594","aae-miR-276-3p",-17,382,400,160
"AAEL004417-RA","AAEL004417","Q17CV7","aae-miR-276-3p",-15.91,1154,1174,160
"AAEL007903-RC","AAEL007903","UPI000B775E0F","aae-miR-276-3p",-20.59,277,296,159
"AAEL026670-RA","AAEL026670","UPI000B776A2F","aae-miR-276-3p",-16.44,419,439,159
"AAEL029014-RA","AAEL029014","Q16VH5","aae-miR-276-3p",-18.53,25,45,158
"AAEL022379-RA","AAEL022379","UPI000B78F3B8","aae-miR-276-3p",-18.52,702,722,158
"AAEL000204-RC","AAEL000204","UPI000B788728","aae-miR-276-3p",-17.58,1353,1372,158
"AAEL000204-RN","AAEL000204","Q17PV8","aae-miR-276-3p",-17.58,1353,1372,158
"AAEL000204-RN","AAEL000204","Q17PV9","aae-miR-276-3p",-17.58,1353,1372,158
"AAEL028185-RA","AAEL028185","Q17LA2","aae-miR-276-3p",-17.02,376,397,158
"AAEL019812-RB","AAEL019812","UPI000B795C46","aae-miR-276-3p",-24.27,92,111,157
"AAEL019812-RC","AAEL019812","UPI000B777141","aae-miR-276-3p",-24.27,92,111,157
"AAEL019812-RD","AAEL019812","Q17DM3","aae-miR-276-3p",-24.27,92,111,157
"AAEL025503-RA","AAEL025503","A0A1S4FW75","aae-miR-276-3p",-20.74,199,220,157
"AAEL025503-RA","AAEL025503","Q16MH3","aae-miR-276-3p",-20.74,199,220,157
"AAEL003245-RA","AAEL003245","Q16SM9","aae-miR-276-3p",-17.21,850,874,157
"AAEL003245-RA","AAEL003245","Q16SM8","aae-miR-276-3p",-17.21,850,874,157
"AAEL003245-RA","AAEL003245","A0A1S4F432","aae-miR-276-3p",-17.21,850,874,157
"AAEL003245-RA","AAEL003245","Q17G02","aae-miR-276-3p",-17.21,850,874,157
"AAEL023495-RA","AAEL023495","UPI000B783C84","aae-miR-276-3p",-17.19,767,789,157
"AAEL023495-RB","AAEL023495","UPI000B794C57","aae-miR-276-3p",-17.19,767,789,157
"AAEL013778-RA","AAEL013778","Q16I64","aae-miR-276-3p",-16.57,1183,1204,157
"AAEL012091-RB","AAEL012091","UPI000B78A261","aae-miR-276-3p",-16.51,765,784,157
"AAEL012091-RC","AAEL012091","Q16N43","aae-miR-276-3p",-16.51,765,784,157
"AAEL013384-RA","AAEL013384","Q16JC1","aae-miR-276-3p",-15.32,1111,1131,157
"AAEL013384-RA","AAEL013384","A0A1S4FZ78","aae-miR-276-3p",-15.32,1111,1131,157
"AAEL013384-RB","AAEL013384","UPI000B77F0F2","aae-miR-276-3p",-15.32,1111,1131,157
"AAEL011817-RA","AAEL011817","A0A1S4FUT2","aae-miR-276-3p",-22.56,476,499,156
"AAEL011817-RA","AAEL011817","Q16NZ5","aae-miR-276-3p",-22.56,476,499,156
"AAEL006232-RB","AAEL006232","Q176X3","aae-miR-276-3p",-15.69,243,262,156
"AAEL006232-RB","AAEL006232","A0A1S4FD41","aae-miR-276-3p",-15.69,243,262,156
"AAEL009742-RC","AAEL009742","UPI000B78FF58","aae-miR-276-3p",-15.51,1421,1441,156
"AAEL009742-RD","AAEL009742","Q16I14","aae-miR-276-3p",-15.51,1414,1434,156
"AAEL009742-RE","AAEL009742","UPI000B77CBCA","aae-miR-276-3p",-15.51,1392,1412,156
"AAEL009742-RF","AAEL009742","UPI000B783026","aae-miR-276-3p",-15.51,1392,1412,156
"AAEL009742-RG","AAEL009742","Q16UZ7","aae-miR-276-3p",-15.51,1392,1412,156
"AAEL001518-RB","AAEL001518","UPI000B78445B","aae-miR-276-3p",-19.21,1226,1246,155
"AAEL001518-RC","AAEL001518","A0A1S4EZ00","aae-miR-276-3p",-19.21,1127,1147,155
"AAEL001518-RC","AAEL001518","Q17L08","aae-miR-276-3p",-19.21,1127,1147,155
"AAEL001518-RD","AAEL001518","A0A0N8ERW6","aae-miR-276-3p",-19.21,1226,1246,155
"AAEL000474-RB","AAEL000474","Q17P94","aae-miR-276-3p",-19.15,1845,1865,155
"AAEL002906-RA","AAEL002906","A0A1S4F345","aae-miR-276-3p",-18.69,1,16,155
"AAEL002906-RA","AAEL002906","Q17GS7","aae-miR-276-3p",-18.69,1,16,155
"AAEL004883-RB","AAEL004883","UPI000B7820A4","aae-miR-276-3p",-14.27,248,268,155
"AAEL024078-RA","AAEL024078","Q17BS6","aae-miR-276-3p",-14.27,248,268,155
"AAEL027918-RA","AAEL027918","Q16RT5","aae-miR-276-3p",-22.67,521,541,154
"AAEL010506-RA","AAEL010506","Q16SS3","aae-miR-276-3p",-17.16,4010,4031,154
"AAEL010506-RE","AAEL010506","UPI000936F9DF","aae-miR-276-3p",-17.16,4010,4031,154
"AAEL004566-RA","AAEL004566","Q17CJ1","aae-miR-276-3p",-16.08,132,152,154
"AAEL004566-RA","AAEL004566","A0A1S4F800","aae-miR-276-3p",-16.08,132,152,154
"AAEL020850-RA","AAEL020850","UPI000B79AD97","aae-miR-276-3p",-16.08,132,152,154
"AAEL010289-RB","AAEL010289","UPI000B779DB6","aae-miR-276-3p",-14.27,215,235,154
"AAEL010289-RC","AAEL010289","Q16TB6","aae-miR-276-3p",-14.27,215,235,154
"AAEL010289-RC","AAEL010289","Q17K64","aae-miR-276-3p",-14.27,215,235,154
"AAEL027040-RA","AAEL027040","UPI000B789679","aae-miR-276-3p",-14.27,215,235,154
"AAEL004351-RD","AAEL004351","UPI000B77991F","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RE","AAEL004351","UPI000B78FCD3","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RF","AAEL004351","UPI000B78BF29","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RG","AAEL004351","UPI000B783602","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RI","AAEL004351","Q17D25","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RI","AAEL004351","Q17D24","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RI","AAEL004351","Q17D26","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RJ","AAEL004351","UPI000B780224","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL004351-RK","AAEL004351","UPI000B788F83","aae-miR-276-3p",-21.51,1958,1977,153
"AAEL006818-RB","AAEL006818","Q174Q0","aae-miR-276-3p",-16.07,1,20,153
"AAEL015631-RA","AAEL015631","Q1DGH5","aae-miR-276-3p",-15.74,31,52,153
"AAEL015631-RA","AAEL015631","Q171T1","aae-miR-276-3p",-15.74,31,52,153
"AAEL015631-RA","AAEL015631","O46196","aae-miR-276-3p",-15.74,31,52,153
"AAEL015631-RA","AAEL015631","A0A1S4G4G5","aae-miR-276-3p",-15.74,31,52,153
"AAEL019618-RA","AAEL019618","UPI000B77902F","aae-miR-276-3p",-19.09,2627,2648,152
"AAEL025187-RA","AAEL025187","UPI000B76ED48","aae-miR-276-3p",-19.09,2630,2651,152
"AAEL002335-RB","AAEL002335","UPI000B796483","aae-miR-276-3p",-16.87,481,502,152
"AAEL002335-RC","AAEL002335","Q17IK3","aae-miR-276-3p",-16.87,481,502,152
"AAEL002335-RC","AAEL002335","Q17F58","aae-miR-276-3p",-16.87,481,502,152
