"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL011870-RA","AAEL011870","Q16NS4","aae-miR-210-5p",-20.51,416,433,167
"AAEL011870-RB","AAEL011870","UPI000B76F93D","aae-miR-210-5p",-20.51,416,433,167
"AAEL001536-RB","AAEL001536","Q17KY4","aae-miR-210-5p",-22.88,811,828,165
"AAEL002222-RB","AAEL002222","UPI000B79588A","aae-miR-210-5p",-22.73,40,57,164
"AAEL012463-RB","AAEL012463","UPI000B78C5AE","aae-miR-210-5p",-20.07,4741,4758,163
"AAEL012463-RD","AAEL012463","Q16M13","aae-miR-210-5p",-20.07,4741,4758,163
"AAEL006118-RA","AAEL006118","Q177J1","aae-miR-210-5p",-21.65,1071,1088,160
"AAEL002134-RA","AAEL002134","Q17J89","aae-miR-210-5p",-19.72,102,119,160
"AAEL002134-RB","AAEL002134","UPI000B7733C0","aae-miR-210-5p",-19.72,102,119,160
"AAEL000993-RB","AAEL000993","Q17ML3","aae-miR-210-5p",-19.36,126,143,160
"AAEL004217-RB","AAEL004217","UPI000B78565D","aae-miR-210-5p",-19.36,548,565,160
"AAEL004217-RC","AAEL004217","Q16H38","aae-miR-210-5p",-19.36,548,565,160
"AAEL004217-RC","AAEL004217","Q17DI4","aae-miR-210-5p",-19.36,548,565,160
"AAEL008466-RB","AAEL008466","Q16YQ0","aae-miR-210-5p",-23.37,1185,1202,159
"AAEL008466-RC","AAEL008466","UPI000B786D38","aae-miR-210-5p",-23.37,1185,1202,159
"AAEL008164-RA","AAEL008164","Q16ZL1","aae-miR-210-5p",-20.35,2160,2179,159
"AAEL019854-RA","AAEL019854","UPI000B78E929","aae-miR-210-5p",-18.69,943,961,159
"AAEL019854-RB","AAEL019854","A0A0P6IXY3","aae-miR-210-5p",-18.69,943,961,159
"AAEL019854-RB","AAEL019854","Q17AF7","aae-miR-210-5p",-18.69,943,961,159
"AAEL019854-RC","AAEL019854","A0A1S4FA90","aae-miR-210-5p",-18.69,943,961,159
"AAEL019854-RD","AAEL019854","UPI000B783A7C","aae-miR-210-5p",-18.69,943,961,159
"AAEL019543-RA","AAEL019543","Q16M72","aae-miR-210-5p",-14.98,454,471,159
"AAEL005980-RA","AAEL005980","Q178A0","aae-miR-210-5p",-14.78,445,462,159
"AAEL005980-RG","AAEL005980","UPI000B775AD6","aae-miR-210-5p",-14.78,445,462,159
"AAEL014825-RC","AAEL014825","A0A1S4G3C0","aae-miR-210-5p",-23.49,33,49,158
"AAEL014825-RC","AAEL014825","A0A1S4G2N3","aae-miR-210-5p",-23.49,33,49,158
"AAEL014825-RC","AAEL014825","Q16FC1","aae-miR-210-5p",-23.49,33,49,158
"AAEL014825-RD","AAEL014825","UPI000B790CDC","aae-miR-210-5p",-23.49,663,679,158
"AAEL001798-RA","AAEL001798","Q17K23","aae-miR-210-5p",-22.12,3574,3591,158
"AAEL001798-RB","AAEL001798","Q17K22","aae-miR-210-5p",-22.12,3574,3591,158
"AAEL010226-RC","AAEL010226","Q16TH4","aae-miR-210-5p",-20.48,1075,1091,158
"AAEL010226-RC","AAEL010226","Q16TH3","aae-miR-210-5p",-20.48,1075,1091,158
"AAEL010226-RC","AAEL010226","A0A0P6IXM9","aae-miR-210-5p",-20.48,1075,1091,158
"AAEL010226-RD","AAEL010226","UPI000B78EB19","aae-miR-210-5p",-20.48,1075,1091,158
"AAEL024827-RA","AAEL024827","UPI000B77BEFB","aae-miR-210-5p",-20.48,1075,1091,158
"AAEL017025-RB","AAEL017025","UPI000B78BE9F","aae-miR-210-5p",-26.59,359,376,156
"AAEL008257-RA","AAEL008257","Q1HR40","aae-miR-210-5p",-24.21,3073,3090,156
"AAEL003014-RB","AAEL003014","Q17GH6","aae-miR-210-5p",-23.04,5193,5210,156
"AAEL003014-RB","AAEL003014","A0A0P6JSR3","aae-miR-210-5p",-23.04,5193,5210,156
"AAEL003014-RB","AAEL003014","A0A1S4F3D7","aae-miR-210-5p",-23.04,5193,5210,156
"AAEL010506-RA","AAEL010506","Q16SS3","aae-miR-210-5p",-22.63,5377,5394,156
"AAEL010506-RE","AAEL010506","UPI000936F9DF","aae-miR-210-5p",-22.63,5377,5394,156
"AAEL027061-RA","AAEL027061","UPI000B77616D","aae-miR-210-5p",-21.18,23,40,156
"AAEL027061-RB","AAEL027061","UPI000B77FE6C","aae-miR-210-5p",-21.18,23,40,156
"AAEL027061-RC","AAEL027061","UPI000B791DD5","aae-miR-210-5p",-21.18,23,40,156
"AAEL027061-RD","AAEL027061","Q17B08","aae-miR-210-5p",-21.18,23,40,156
