"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL001867-RA","AAEL001867","Q17JY9","aae-miR-1000-5p",-23.49,469,489,179
"AAEL001867-RA","AAEL001867","A0A1S4F000","aae-miR-1000-5p",-23.49,469,489,179
"AAEL019918-RA","AAEL019918","Q16VB8","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL019918-RB","AAEL019918","UPI000B782A68","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL019918-RC","AAEL019918","UPI000B78F1E8","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL019918-RE","AAEL019918","UPI000B77F501","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL019918-RF","AAEL019918","UPI000B76CD7D","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL019918-RH","AAEL019918","Q16VB9","aae-miR-1000-5p",-22.23,2243,2263,175
"AAEL007244-RA","AAEL007244","Q172Y4","aae-miR-1000-5p",-24.52,351,372,174
"AAEL007244-RA","AAEL007244","A0A1S4FG60","aae-miR-1000-5p",-24.52,351,372,174
"AAEL012640-RB","AAEL012640","UPI000B783808","aae-miR-1000-5p",-23.27,70,90,174
"AAEL012640-RD","AAEL012640","UPI000B791C2C","aae-miR-1000-5p",-23.27,70,90,174
"AAEL012640-RE","AAEL012640","Q16LI4","aae-miR-1000-5p",-23.27,70,90,174
"AAEL012640-RE","AAEL012640","Q16FM4","aae-miR-1000-5p",-23.27,70,90,174
"AAEL010942-RA","AAEL010942","Q16RI3","aae-miR-1000-5p",-24.51,328,349,170
"AAEL010942-RB","AAEL010942","UPI000B78FE49","aae-miR-1000-5p",-24.51,328,349,170
"AAEL006682-RD","AAEL006682","A0A1S4G291","aae-miR-1000-5p",-17.69,516,536,167
"AAEL010946-RB","AAEL010946","UPI0000DAAD9A","aae-miR-1000-5p",-30.67,97,118,166
"AAEL010946-RE","AAEL010946","Q16RI4","aae-miR-1000-5p",-30.67,97,118,166
"AAEL023509-RA","AAEL023509","Q563C4","aae-miR-1000-5p",-30.67,97,118,166
"AAEL023509-RC","AAEL023509","UPI000B797387","aae-miR-1000-5p",-30.67,97,118,166
"AAEL023509-RD","AAEL023509","UPI000B787CB8","aae-miR-1000-5p",-30.67,97,118,166
"AAEL023509-RF","AAEL023509","UPI000B78D862","aae-miR-1000-5p",-30.67,97,118,166
"AAEL005349-RA","AAEL005349","Q17A98","aae-miR-1000-5p",-24.56,108,129,166
"AAEL020804-RA","AAEL020804","Q17DD6","aae-miR-1000-5p",-21.4,260,281,166
"AAEL020804-RA","AAEL020804","Q16G96","aae-miR-1000-5p",-21.4,260,281,166
"AAEL012404-RB","AAEL012404","Q16M69","aae-miR-1000-5p",-20.91,593,614,166
"AAEL005030-RA","AAEL005030","A0A1S4F9G0","aae-miR-1000-5p",-18.3,27,47,166
"AAEL015095-RB","AAEL015095","Q16G21","aae-miR-1000-5p",-18.02,301,322,166
"AAEL015095-RB","AAEL015095","Q16EM4","aae-miR-1000-5p",-18.02,301,322,166
"AAEL015095-RC","AAEL015095","UPI000B76E39E","aae-miR-1000-5p",-18.02,301,322,166
"AAEL024964-RA","AAEL024964","Q17EJ9","aae-miR-1000-5p",-19.91,840,860,165
"AAEL006879-RB","AAEL006879","Q174H7","aae-miR-1000-5p",-18.15,362,382,165
"AAEL006879-RB","AAEL006879","Q174H6","aae-miR-1000-5p",-18.15,362,382,165
"AAEL003551-RB","AAEL003551","Q17F67","aae-miR-1000-5p",-18.13,651,670,165
"AAEL003551-RB","AAEL003551","A0A1S4F4Z9","aae-miR-1000-5p",-18.13,651,670,165
"AAEL003107-RA","AAEL003107","Q17GF0","aae-miR-1000-5p",-17.46,4,24,165
"AAEL003107-RA","AAEL003107","A0A1S4F3R4","aae-miR-1000-5p",-17.46,4,24,165
"AAEL008180-RB","AAEL008180","Q16ZK2","aae-miR-1000-5p",-14.21,8,27,165
"AAEL002160-RA","AAEL002160","Q17J37","aae-miR-1000-5p",-23.99,225,246,164
"AAEL005928-RA","AAEL005928","Q178E3","aae-miR-1000-5p",-18.72,173,192,162
"AAEL019917-RA","AAEL019917","Q16ZC9","aae-miR-1000-5p",-17.58,548,568,162
"AAEL019917-RA","AAEL019917","Q16E52","aae-miR-1000-5p",-17.58,548,568,162
