"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL027099-RA","AAEL027099","UPI000B78E2BC","aae-miR-4275-5p",-21.39,308,326,165
"AAEL017012-RC","AAEL017012","A0A1S4G522","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RD","AAEL017012","UPI000B78AF03","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RE","AAEL017012","J9HJH3","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RE","AAEL017012","J9I002","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RE","AAEL017012","J9HTT6","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RG","AAEL017012","UPI000B77CC02","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RH","AAEL017012","UPI000B780ACD","aae-miR-4275-5p",-17.29,128,146,165
"AAEL017012-RI","AAEL017012","UPI000B775F46","aae-miR-4275-5p",-17.29,128,146,165
"AAEL001154-RA","AAEL001154","Q17M31","aae-miR-4275-5p",-14.36,66,85,164
"AAEL001154-RA","AAEL001154","A0A1S4EXY1","aae-miR-4275-5p",-14.36,66,85,164
"AAEL001744-RB","AAEL001744","Q17KB6","aae-miR-4275-5p",-14.02,1035,1054,164
"AAEL012375-RB","AAEL012375","A0A1S4FVX8","aae-miR-4275-5p",-21.13,26,44,161
"AAEL012375-RB","AAEL012375","Q16RV6","aae-miR-4275-5p",-21.13,26,44,161
"AAEL012375-RB","AAEL012375","A0A1S4FRJ5","aae-miR-4275-5p",-21.13,26,44,161
"AAEL012375-RB","AAEL012375","Q16M96","aae-miR-4275-5p",-21.13,26,44,161
"AAEL000327-RB","AAEL000327","UPI000B77AFF2","aae-miR-4275-5p",-15.13,1574,1593,161
"AAEL000327-RC","AAEL000327","Q17PJ4","aae-miR-4275-5p",-15.13,1574,1593,161
"AAEL004305-RA","AAEL004305","Q17D76","aae-miR-4275-5p",-14.02,957,974,161
"AAEL009158-RA","AAEL009158","A0A1S4FLI1","aae-miR-4275-5p",-17.52,35,54,160
"AAEL009158-RA","AAEL009158","Q0IEP0","aae-miR-4275-5p",-17.52,35,54,160
"AAEL005373-RA","AAEL005373","Q17A90","aae-miR-4275-5p",-16.4,178,197,160
"AAEL005373-RA","AAEL005373","A0A1S4FAC5","aae-miR-4275-5p",-16.4,178,197,160
"AAEL004414-RA","AAEL004414","A0A1S4F7K0","aae-miR-4275-5p",-14.66,84,101,159
"AAEL004414-RA","AAEL004414","Q17CW4","aae-miR-4275-5p",-14.66,84,101,159
"AAEL015593-RB","AAEL015593","UPI000B76CA2B","aae-miR-4275-5p",-17.98,1832,1851,158
"AAEL015593-RC","AAEL015593","UPI000B7829D7","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RD","AAEL015593","UPI000B78DF47","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RE","AAEL015593","UPI000B7947ED","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RG","AAEL015593","UPI000B77D505","aae-miR-4275-5p",-17.98,1832,1851,158
"AAEL015593-RH","AAEL015593","UPI000B772A66","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RI","AAEL015593","Q16LQ3","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RI","AAEL015593","Q1DGK7","aae-miR-4275-5p",-17.98,1627,1646,158
"AAEL015593-RK","AAEL015593","UPI000B795883","aae-miR-4275-5p",-17.98,1832,1851,158
"AAEL015593-RL","AAEL015593","UPI000B778F20","aae-miR-4275-5p",-17.98,1832,1851,158
"AAEL005329-RB","AAEL005329","Q17AE0","aae-miR-4275-5p",-14.48,619,637,157
"AAEL000523-RB","AAEL000523","UPI000B76EFBE","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RC","AAEL000523","UPI000B797C5E","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RD","AAEL000523","UPI000B7966C5","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RE","AAEL000523","Q17P28","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RE","AAEL000523","A0A1S4EW50","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RH","AAEL000523","UPI000B76C557","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL000523-RK","AAEL000523","UPI000B792244","aae-miR-4275-5p",-14.05,1048,1066,157
"AAEL019618-RA","AAEL019618","UPI000B77902F","aae-miR-4275-5p",-22.17,2541,2564,156
"AAEL010881-RB","AAEL010881","Q16RQ0","aae-miR-4275-5p",-16.62,1460,1478,156
"AAEL010881-RB","AAEL010881","Q16Y26","aae-miR-4275-5p",-16.62,1460,1478,156
"AAEL014519-RB","AAEL014519","UPI000B79AC82","aae-miR-4275-5p",-15.63,244,262,156
"AAEL014519-RD","AAEL014519","A0A1S4FN71","aae-miR-4275-5p",-15.63,244,262,156
"AAEL014519-RE","AAEL014519","Q16UZ9","aae-miR-4275-5p",-15.63,244,262,156
"AAEL014519-RE","AAEL014519","Q16G52","aae-miR-4275-5p",-15.63,244,262,156
"AAEL007364-RA","AAEL007364","Q172L0","aae-miR-4275-5p",-15.59,1,16,155
"AAEL008190-RA","AAEL008190","Q16ZI0","aae-miR-4275-5p",-14.05,539,556,155
"AAEL006728-RA","AAEL006728","Q174Z9","aae-miR-4275-5p",-20.1,291,309,154
"AAEL027131-RA","AAEL027131","UPI000B77AB6C","aae-miR-4275-5p",-19.26,779,797,154
"AAEL027131-RB","AAEL027131","UPI000B78DEB2","aae-miR-4275-5p",-19.26,779,797,154
"AAEL027131-RC","AAEL027131","UPI000B7805A0","aae-miR-4275-5p",-19.26,779,797,154
"AAEL009883-RA","AAEL009883","Q16UJ3","aae-miR-4275-5p",-16.17,326,344,153
"AAEL019651-RA","AAEL019651","UPI000B78322C","aae-miR-4275-5p",-14.38,68,88,152
"AAEL019651-RC","AAEL019651","Q16Q37","aae-miR-4275-5p",-14.38,68,88,152
"AAEL019651-RC","AAEL019651","Q16FY0","aae-miR-4275-5p",-14.38,68,88,152
"AAEL010150-RA","AAEL010150","A0A1S4FPE8","aae-miR-4275-5p",-14.1,434,453,152
"AAEL010150-RA","AAEL010150","Q16TS4","aae-miR-4275-5p",-14.1,434,453,152
"AAEL023675-RA","AAEL023675","Q16SW5","aae-miR-4275-5p",-19.85,33,51,151
"AAEL023675-RB","AAEL023675","A0A1S4FQC8","aae-miR-4275-5p",-19.85,33,51,151
"AAEL000188-RA","AAEL000188","Q17Q14","aae-miR-4275-5p",-16.39,777,798,151
"AAEL011964-RA","AAEL011964","Q16NI4","aae-miR-4275-5p",-14.08,1,20,151
"AAEL011302-RD","AAEL011302","Q16QE9","aae-miR-4275-5p",-14.79,140,158,150
"AAEL011302-RF","AAEL011302","UPI000B79A476","aae-miR-4275-5p",-14.79,140,158,150
"AAEL000288-RA","AAEL000288","Q17PM5","aae-miR-4275-5p",-18.75,148,166,149
"AAEL000288-RB","AAEL000288","UPI000B76D8A4","aae-miR-4275-5p",-18.75,192,210,149
"AAEL000288-RF","AAEL000288","UPI000B793D29","aae-miR-4275-5p",-18.75,148,166,149
"AAEL000288-RG","AAEL000288","UPI000B78FFFF","aae-miR-4275-5p",-18.75,192,210,149
"AAEL001740-RA","AAEL001740","A0A1S4EZP3","aae-miR-4275-5p",-17.12,288,306,149
"AAEL001740-RA","AAEL001740","Q17KC4","aae-miR-4275-5p",-17.12,288,306,149
"AAEL000993-RB","AAEL000993","Q17ML3","aae-miR-4275-5p",-15.82,2962,2980,149
"AAEL000589-RA","AAEL000589","Q17NU9","aae-miR-4275-5p",-15.62,1823,1841,149
"AAEL000589-RA","AAEL000589","A0A1S4EW99","aae-miR-4275-5p",-15.62,1823,1841,149
"AAEL000589-RB","AAEL000589","UPI000B77F361","aae-miR-4275-5p",-15.62,982,1000,149
"AAEL000589-RC","AAEL000589","UPI000B79743D","aae-miR-4275-5p",-15.62,982,1000,149
"AAEL000589-RD","AAEL000589","UPI000B791334","aae-miR-4275-5p",-15.62,982,1000,149
"AAEL000589-RE","AAEL000589","UPI000B78334A","aae-miR-4275-5p",-15.62,982,1000,149
"AAEL019660-RB","AAEL019660","UPI000B78150B","aae-miR-4275-5p",-14.83,293,311,149
"AAEL019660-RD","AAEL019660","Q16IY3","aae-miR-4275-5p",-14.83,293,311,149
"AAEL010955-RA","AAEL010955","Q16RH2","aae-miR-4275-5p",-14.35,2,20,149
"AAEL019638-RA","AAEL019638","Q172E0","aae-miR-4275-5p",-16.57,703,722,148
"AAEL019638-RA","AAEL019638","J9HST3","aae-miR-4275-5p",-16.57,703,722,148
"AAEL019638-RA","AAEL019638","Q172E1","aae-miR-4275-5p",-16.57,703,722,148
"AAEL019638-RB","AAEL019638","UPI000B76D6A5","aae-miR-4275-5p",-16.57,703,722,148
"AAEL009072-RA","AAEL009072","A0A1S4FL99","aae-miR-4275-5p",-16.4,374,393,148
"AAEL009072-RA","AAEL009072","Q16WX1","aae-miR-4275-5p",-16.4,374,393,148
"AAEL009072-RB","AAEL009072","UPI000B794DBE","aae-miR-4275-5p",-16.4,374,393,148
"AAEL011939-RA","AAEL011939","Q16NL0","aae-miR-4275-5p",-14.29,31,51,148
"AAEL011939-RA","AAEL011939","Q16NL1","aae-miR-4275-5p",-14.29,31,51,148
"AAEL011939-RA","AAEL011939","Q17JS4","aae-miR-4275-5p",-14.29,31,51,148
"AAEL019434-RA","AAEL019434","Q16JJ4","aae-miR-4275-5p",-16.2,47,67,147
"AAEL004973-RA","AAEL004973","Q17BE9","aae-miR-4275-5p",-14.29,1030,1048,147
"AAEL021836-RA","AAEL021836","Q17LN3","aae-miR-4275-5p",-14.16,505,526,147
"AAEL021836-RB","AAEL021836","A0A1S4EYF7","aae-miR-4275-5p",-14.16,505,526,147
"AAEL021836-RC","AAEL021836","UPI000B7737AF","aae-miR-4275-5p",-14.16,505,526,147
"AAEL012272-RA","AAEL012272","A0A1S4FVM5","aae-miR-4275-5p",-14.05,102,121,146
"AAEL012272-RA","AAEL012272","Q16F16","aae-miR-4275-5p",-14.05,102,121,146
"AAEL012272-RA","AAEL012272","Q16MK5","aae-miR-4275-5p",-14.05,102,121,146
"AAEL012272-RB","AAEL012272","A0A1S4FVT6","aae-miR-4275-5p",-14.05,102,121,146
"AAEL012272-RB","AAEL012272","Q16MK6","aae-miR-4275-5p",-14.05,102,121,146
"AAEL014089-RB","AAEL014089","UPI000B796F35","aae-miR-4275-5p",-19.97,1,19,145
"AAEL014089-RC","AAEL014089","A0A1S4G1B6","aae-miR-4275-5p",-19.97,1,19,145
"AAEL014089-RC","AAEL014089","Q16HB2","aae-miR-4275-5p",-19.97,1,19,145
"AAEL010430-RA","AAEL010430","Q16SZ9","aae-miR-4275-5p",-17.87,136,154,145
"AAEL010814-RC","AAEL010814","Q0IED0","aae-miR-4275-5p",-14.82,509,527,145
"AAEL019797-RA","AAEL019797","Q16P06","aae-miR-4275-5p",-14.69,103,121,145
"AAEL019797-RA","AAEL019797","A0A1S4G7W7","aae-miR-4275-5p",-14.69,103,121,145
"AAEL001891-RA","AAEL001891","A0A1S4F0A1","aae-miR-4275-5p",-14.63,137,155,145
"AAEL001891-RA","AAEL001891","Q17JV5","aae-miR-4275-5p",-14.63,137,155,145
"AAEL024044-RA","AAEL024044","UPI000B7715D3","aae-miR-4275-5p",-14.46,250,268,145
"AAEL004147-RB","AAEL004147","Q17DI6","aae-miR-4275-5p",-14.29,854,872,145
"AAEL003290-RA","AAEL003290","A0A1S4F488","aae-miR-4275-5p",-16.22,165,184,144
"AAEL002850-RA","AAEL002850","A0A1S4F2W9","aae-miR-4275-5p",-14.86,1518,1538,144
"AAEL002850-RA","AAEL002850","Q17GY7","aae-miR-4275-5p",-14.86,1518,1538,144
"AAEL006073-RA","AAEL006073","A0A1S4FCP9","aae-miR-4275-5p",-14.38,330,350,144
"AAEL006073-RA","AAEL006073","Q177P2","aae-miR-4275-5p",-14.38,330,350,144
"AAEL007796-RA","AAEL007796","Q170T9","aae-miR-4275-5p",-17.31,51,69,143
"AAEL007796-RB","AAEL007796","UPI0000DAA1C9","aae-miR-4275-5p",-17.31,51,69,143
"AAEL007796-RC","AAEL007796","UPI000B7806C4","aae-miR-4275-5p",-17.31,51,69,143
"AAEL024343-RA","AAEL024343","A0A0P6ITN4","aae-miR-4275-5p",-15.08,952,970,143
"AAEL007187-RB","AAEL007187","Q173E4","aae-miR-4275-5p",-14.41,223,243,143
"AAEL007187-RC","AAEL007187","UPI000B76EDD0","aae-miR-4275-5p",-14.41,223,243,143
"AAEL012930-RD","AAEL012930","UPI000B78177F","aae-miR-4275-5p",-14.12,858,875,143
"AAEL012930-RF","AAEL012930","Q16KN3","aae-miR-4275-5p",-14.12,858,875,143
"AAEL012930-RG","AAEL012930","UPI000B78193C","aae-miR-4275-5p",-14.12,858,875,143
"AAEL013078-RA","AAEL013078","Q16K89","aae-miR-4275-5p",-20.68,2,20,142
"AAEL013078-RA","AAEL013078","Q16GS9","aae-miR-4275-5p",-20.68,2,20,142
"AAEL019725-RA","AAEL019725","Q1XAU3","aae-miR-4275-5p",-19.51,1180,1201,142
"AAEL019725-RA","AAEL019725","Q17K99","aae-miR-4275-5p",-19.51,1180,1201,142
"AAEL019725-RB","AAEL019725","Q1XAU2","aae-miR-4275-5p",-19.51,1180,1201,142
"AAEL019725-RE","AAEL019725","Q16E86","aae-miR-4275-5p",-19.51,510,531,142
"AAEL019725-RF","AAEL019725","Q1XAU4","aae-miR-4275-5p",-19.51,510,531,142
"AAEL019617-RA","AAEL019617","UPI000B77BE50","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RE","AAEL019617","UPI000B76DE3B","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RF","AAEL019617","Q17KU1","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RH","AAEL019617","UPI000B77236A","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RI","AAEL019617","UPI000B76FC0A","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RK","AAEL019617","A0A0P6K0X9","aae-miR-4275-5p",-16.63,545,564,142
"AAEL019617-RO","AAEL019617","UPI000B77A612","aae-miR-4275-5p",-16.63,545,564,142
"AAEL012450-RB","AAEL012450","Q16M21","aae-miR-4275-5p",-16.01,226,245,142
"AAEL024454-RA","AAEL024454","Q16NX7","aae-miR-4275-5p",-15.96,922,939,142
"AAEL022143-RA","AAEL022143","A0A0P6J621","aae-miR-4275-5p",-17.4,375,393,141
"AAEL022143-RA","AAEL022143","A0A1S4FGX8","aae-miR-4275-5p",-17.4,375,393,141
"AAEL022143-RA","AAEL022143","Q171M6","aae-miR-4275-5p",-17.4,375,393,141
"AAEL017280-RB","AAEL017280","UPI000B77D9E5","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RC","AAEL017280","UPI000B785221","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RD","AAEL017280","UPI000B78B1CA","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RE","AAEL017280","UPI000B779948","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RF","AAEL017280","J9HFS6","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RH","AAEL017280","UPI000B76F686","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RI","AAEL017280","UPI000B780FC7","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL017280-RJ","AAEL017280","UPI000B772501","aae-miR-4275-5p",-16.9,1269,1287,141
"AAEL009265-RB","AAEL009265","Q16WC7","aae-miR-4275-5p",-15.62,365,383,141
"AAEL009265-RB","AAEL009265","A0A1S4FLT5","aae-miR-4275-5p",-15.62,365,383,141
"AAEL009265-RC","AAEL009265","UPI000B7745E2","aae-miR-4275-5p",-15.62,365,383,141
"AAEL008717-RB","AAEL008717","Q16XZ4","aae-miR-4275-5p",-15.42,1013,1031,141
"AAEL014825-RD","AAEL014825","UPI000B790CDC","aae-miR-4275-5p",-15.14,493,511,141
"AAEL021732-RA","AAEL021732","UPI000B790FA0","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RC","AAEL021732","A0A0P6J068","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RC","AAEL021732","Q16PR3","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RD","AAEL021732","Q16IN6","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RD","AAEL021732","A0A1S4FU14","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RD","AAEL021732","A0A0P6IZD1","aae-miR-4275-5p",-14.69,886,904,141
"AAEL021732-RE","AAEL021732","UPI000B782616","aae-miR-4275-5p",-14.69,886,904,141
"AAEL009326-RB","AAEL009326","UPI000B7896E7","aae-miR-4275-5p",-14.14,1432,1450,141
"AAEL009326-RC","AAEL009326","UPI000B775A5C","aae-miR-4275-5p",-14.14,1432,1450,141
"AAEL009326-RD","AAEL009326","Q16W64","aae-miR-4275-5p",-14.14,1432,1450,141
"AAEL009326-RE","AAEL009326","UPI000B77E4F3","aae-miR-4275-5p",-14.14,1432,1450,141
