"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF027115-RA","poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]","A0A182HDC1","aal-miR-124",-25.64,1383,1404,171
"AALF025855-RA","pak-interacting exchange factor, beta-pix/cool-1 [Source:Projected from Aedes aegypti (AAEL000719) VB Community Annotation]","A0A182HBC6","aal-miR-124",-20.1,161,183,160
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-124",-20.24,17930,17951,158
"AALF011128-RA","Mitochondrial GTPase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182GJQ3]","A0A182GJQ3","aal-miR-124",-21.46,201,222,156
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-124",-20.48,23670,23691,155
"AALF013219-RA","Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A182GP12]","A0A182GP12","aal-miR-124",-19.86,262,282,154
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-124",-19.69,34242,34263,154
"AALF004782-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti lvpagwg (AAEL013390) VB Community Annotation]","A0A023ETT5,A0A182G7S2","aal-miR-124",-18.78,655,675,153
"AALF003129-RA","Phospholipase B-like [Source:UniProtKB/TrEMBL;Acc:A0A182G537]","A0A023EVL4,A0A023EVM6,A0A182G537","aal-miR-124",-17.52,1,14,153
"AALF005612-RA","macroglobulin/complement [Source:Projected from Aedes aegypti (AAEL012267) VB Community Annotation]","A0A023EWE3,A0A182G988,A0A1W7R8N4","aal-miR-124",-15.5,775,796,153
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-124",-18.25,5885,5906,152
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-124",-25.96,8044,8066,150
"AALF020491-RA","sulphate transporter [Source:Projected from Aedes aegypti (AAEL003548) VB Community Annotation]","A0A182H2P2","aal-miR-124",-25.71,260,288,150
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-124",-21.22,24170,24192,149
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-124",-15.51,31714,31736,149
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-124",-16.58,11842,11861,148
"AALF005903-RA","organic anion transporter [Source:Projected from Aedes aegypti lvpagwg (AAEL001808) VB Community Annotation]","A0A023EWR7,A0A182G9Q2","aal-miR-124",-14.07,803,824,147
"AALF022407-RA","Branched-chain-amino-acid aminotransferase [Source:UniProtKB/TrEMBL;Acc:A0A182H5Y8]","A0A182H5Y8","aal-miR-124",-22.28,1074,1097,146
"AALF003385-RA","Annexin [Source:UniProtKB/TrEMBL;Acc:A0A182G5G5]","A0A023ELU4,A0A182G5G5","aal-miR-124",-16.13,187,208,146
"AALF026429-RA","Dolichol phosphate-mannose biosynthesis regulatory protein [Source:UniProtKB/TrEMBL;Acc:A0A182HC90]","A0A182HC90","aal-miR-124",-15.12,3066,3087,146
"AALF020338-RA","RNA polymerase ii ctd phosphatase [Source:Projected from Aedes aegypti (AAEL015142) VB Community Annotation]","A0A182H2D7","aal-miR-124",-18.53,346,367,145
"AALF017749-RA","integrin-linked protein kinase 2 (ilk-2) [Source:Projected from Aedes aegypti (AAEL000378) VB Community Annotation]","A0A023EQP6,A0A023ERP3,A0A023ESJ3,A0A182GXR3","aal-miR-124",-18.04,238,259,145
"AALF020979-RA","U2 snRNP auxiliary factor large subunit [Source:UniProtKB/TrEMBL;Acc:A0A182H3K3]","A0A182H3K3","aal-miR-124",-17.97,348,370,145
