"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-927-5p",-20.47,23029,23050,171
"AALF020159-RA","importin beta-1 [Source:Projected from Aedes aegypti (AAEL013275) VB Community Annotation]","A0A182H213","aal-miR-927-5p",-21.6,1674,1696,170
"AALF023775-RA","DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182H837]","A0A182H837","aal-miR-927-5p",-14.53,122,144,163
"AALF006745-RA","dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase [Source:Projected from Aedes aegypti (AAEL002764) VB Community Annotation]","A0A023ET33,A0A182GB39","aal-miR-927-5p",-14.03,406,427,159
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-927-5p",-15.2,7127,7152,158
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-927-5p",-18.8,9199,9218,156
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-927-5p",-19.59,4219,4240,155
"AALF015087-RA","protein transport protein sec23 [Source:Projected from Aedes aegypti (AAEL007484) VB Community Annotation]","A0A182GSS4","aal-miR-927-5p",-17.44,2223,2244,153
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-927-5p",-15.55,711,732,152
"AALF026317-RA","trithorax protein ash2 [Source:Projected from Aedes aegypti (AAEL003771) VB Community Annotation]","A0A182HC27","aal-miR-927-5p",-19.37,3245,3266,151
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-927-5p",-15.77,22847,22869,151
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-927-5p",-14,98,120,151
"AALF022918-RA","DNA topoisomerase type I [Source:Projected from Aedes aegypti (AAEL002551) VB Community Annotation]","A0A182H6T8","aal-miR-927-5p",-19.3,1907,1931,150
"AALF013228-RA","Putative microsomal glutathione s-transferase [Source:UniProtKB/TrEMBL;Acc:A0A023EFD8]","A0A023EFD8","aal-miR-927-5p",-16.2,69,96,150
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-927-5p",-15.31,5657,5678,149
"AALF011829-RA","sugar transporter [Source:Projected from Aedes aegypti lvpagwg (AAEL010485) VB Community Annotation]","A0A182GVZ2","aal-miR-927-5p",-20.21,7,28,148
"AALF008942-RA","Putative vacuolar assembly/sorting protein did2 [Source:UniProtKB/TrEMBL;Acc:A0A023EJE6]","A0A023EJE6","aal-miR-927-5p",-19.59,276,297,148
"AALF012781-RA","Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:A0A023ES51]","A0A023ES51","aal-miR-927-5p",-16.27,75,97,147
"AALF004782-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti lvpagwg (AAEL013390) VB Community Annotation]","A0A023ETT5,A0A182G7S2","aal-miR-927-5p",-20.65,272,292,146
"AALF021441-RA","heat shock protein 70 (hsp70)-interacting protein [Source:Projected from Aedes aegypti (AAEL004148) VB Community Annotation]","A0A023EPX6,A0A182H4B7","aal-miR-927-5p",-15.9,48,70,146
"AALF011270-RA","cleavage and polyadenylation specificity factor cpsf [Source:Projected from Aedes aegypti (AAEL000832) VB Community Annotation]","A0A182GK16","aal-miR-927-5p",-14.56,985,1007,146
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-927-5p",-14.41,6054,6078,146
"AALF028408-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL004444) VB Community Annotation]","A0A023EV71,A0A182HF79","aal-miR-927-5p",-16.68,138,161,145
"AALF006834-RA","40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:A0A182GBA2]","A0A182GBA2","aal-miR-927-5p",-21.96,78,99,144
"AALF018161-RA","candidate tumor suppressor protein [Source:Projected from Aedes aegypti (AAEL001740) VB Community Annotation]","A0A182GYG6","aal-miR-927-5p",-17.16,280,300,144
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-927-5p",-14.81,23413,23434,144
"AALF008334-RA","Cation-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182GE35]","A0A182GE35","aal-miR-927-5p",-14.76,759,780,143
"AALF010617-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL009921) VB Community Annotation]","A0A182GIR7","aal-miR-927-5p",-14.22,299,320,143
"AALF027668-RA","Toll-like receptor [Source:Projected from Aedes aegypti (AAEL007619) VB Community Annotation]","A0A182HE56","aal-miR-927-5p",-16.01,172,196,142
"AALF025212-RA","transferrin [Source:Projected from Aedes aegypti (AAEL015639) VB Community Annotation]","A0A023EUK8,A0A023EUL2,A0A182HAB5","aal-miR-927-5p",-14.85,81,102,142
"AALF009167-RA","palmitoyl-protein thioesterase [Source:Projected from Aedes aegypti lvpagwg (AAEL015038) VB Community Annotation]","A0A182GFT6","aal-miR-927-5p",-17.22,19,41,141
"AALF021809-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL000217) VB Community Annotation]","A0A182H4Y9","aal-miR-927-5p",-16.71,410,431,141
"AALF018626-RA","Receptor protein serine/threonine kinase [Source:UniProtKB/TrEMBL;Acc:A0A182GZD7]","A0A023EU41,A0A182GZD7","aal-miR-927-5p",-15.63,737,761,141
"AALF018788-RA","40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:A0A023EFS5]","A0A023EFS5","aal-miR-927-5p",-21.51,78,99,140
