"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF027634-RA","dual specificity mitogen-activated protein kinase kinase hemipterous MAPKK [Source:Projected from Aedes aegypti (AAEL003359) VB Community Annotation]","A0A182HE32","aal-miR-281-5p",-24.45,23,45,163
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-281-5p",-25.8,34028,34048,159
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-281-5p",-24.71,13622,13642,158
"AALF017552-RA","Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182GXE6]","A0A182GXE6","aal-miR-281-5p",-19.56,2631,2651,158
"AALF015570-RA","Gamma-tubulin complex component [Source:UniProtKB/TrEMBL;Acc:A0A182GTM9]","A0A182GTM9","aal-miR-281-5p",-23.51,144,168,157
"AALF003851-RA","dihydropteridine reductase [Source:Projected from Aedes aegypti (AAEL006836) VB Community Annotation]","A0A023EHN5,A0A023EI83,A0A182G685","aal-miR-281-5p",-19.71,49,71,157
"AALF020998-RA","phosphatidylethanolamine-binding protein [Source:Projected from Aedes aegypti (AAEL012955) VB Community Annotation]","A0A182H3L7","aal-miR-281-5p",-19.42,167,188,156
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-281-5p",-16.54,3960,3983,155
"AALF018364-RA","Small nuclear ribonucleoprotein G [Source:UniProtKB/TrEMBL;Acc:A0A023EDW5]","A0A023EDW5","aal-miR-281-5p",-15.03,1,18,155
"AALF009481-RA","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182GGF5]","A0A023EWQ0,A0A182GGF5","aal-miR-281-5p",-23.91,112,134,154
"AALF002018-RA","prolyl-tRNA synthetase [Source:Projected from Aedes aegypti (AAEL010816) VB Community Annotation]","A0A182G3B0","aal-miR-281-5p",-21.69,277,300,153
