"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF027115-RA","poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]","A0A182HDC1","aal-miR-2940-3p",-21.12,1556,1577,169
"AALF004127-RA","phosphatase and actin regulator [Source:Projected from Aedes aegypti (AAEL014792) VB Community Annotation]","A0A182G6N4","aal-miR-2940-3p",-18.67,1061,1083,162
"AALF013047-RA","neuralized [Source:Projected from Aedes aegypti (AAEL006062) VB Community Annotation]","A0A182GNN7","aal-miR-2940-3p",-17.48,377,398,160
"AALF026695-RA","Phosphoinositide phospholipase C [Source:UniProtKB/TrEMBL;Acc:A0A182HCQ0]","A0A182HCQ0","aal-miR-2940-3p",-14.35,115,136,159
"AALF017917-RA","WD-repeat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL013866) VB Community Annotation]","A0A182GY22","aal-miR-2940-3p",-19.88,36,57,158
"AALF008303-RA","Zinc finger protein [Source:Projected from Aedes aegypti lvpagwg (AAEL010635) UniProtKB/TrEMBL;Acc:A0A1S4FQY9]","A0A182GE17","aal-miR-2940-3p",-17.72,100,120,158
"AALF001881-RA","Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182G352]","A0A182G352","aal-miR-2940-3p",-23.67,314,336,157
"AALF027460-RA","folate carrier protein [Source:Projected from Aedes aegypti (AAEL006879) VB Community Annotation]","A0A023EIT4,A0A023EN89,A0A182HDU3","aal-miR-2940-3p",-21.67,3203,3226,156
"AALF007750-RA","peptidyl-prolyl cis-trans isomerase (cyclophilin) [Source:Projected from Aedes aegypti (AAEL006054) VB Community Annotation]","A0A182GCX7","aal-miR-2940-3p",-19.84,1427,1447,156
"AALF011047-RA","DNA topoisomerase [Source:UniProtKB/TrEMBL;Acc:A0A182GJK0]","A0A182GJK0","aal-miR-2940-3p",-18.06,422,445,154
"AALF013508-RA","Sorting nexin [Source:UniProtKB/TrEMBL;Acc:A0A182GPM3]","A0A023ES73,A0A182GPM3","aal-miR-2940-3p",-17.38,98,118,154
"AALF019081-RA","Sorting nexin [Source:UniProtKB/TrEMBL;Acc:A0A182H072]","A0A023EUE9,A0A182H072","aal-miR-2940-3p",-17.38,98,118,154
"AALF025042-RA","Putative splicing factor rnps1 sr protein [Source:Projected from Aedes aegypti lvpagwg (AAEL027436) UniProtKB/TrEMBL;Acc:A0A0P6IYU4]","A0A182HA17","aal-miR-2940-3p",-16.83,165,186,154
"AALF019823-RA","peptidyl-prolyl cis-trans isomerase (cyclophilin) [Source:Projected from Aedes aegypti (AAEL009282) VB Community Annotation]","A0A182H1F5","aal-miR-2940-3p",-16.52,952,973,154
"AALF014147-RA","Putative glutamate/leucine/phenylalanine/valine dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A023ETW6]","A0A023ESQ8,A0A023ETW6","aal-miR-2940-3p",-14.01,824,845,154
"AALF017659-RA","skinny hedgehog/sightless/rasp [Source:Projected from Aedes aegypti (AAEL000853) VB Community Annotation]","A0A182GXL2","aal-miR-2940-3p",-19.84,216,236,153
"AALF012626-RA","Putative fatty acid desaturase [Source:UniProtKB/TrEMBL;Acc:A0A023EQQ3]","A0A023EQQ3","aal-miR-2940-3p",-17.9,742,764,153
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-2940-3p",-17.09,15643,15663,153
