"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF008473-RA","chordin [Source:Projected from Aedes aegypti (AAEL005627) VB Community Annotation]","A0A182GEE1","aal-miR-927-3p",-14.86,341,359,161
"AALF016191-RA","ATP-dependent RNA helicase [Source:Projected from Aedes aegypti (AAEL011534) VB Community Annotation]","A0A182GUX7","aal-miR-927-3p",-18.04,231,249,160
"AALF027634-RA","dual specificity mitogen-activated protein kinase kinase hemipterous MAPKK [Source:Projected from Aedes aegypti (AAEL003359) VB Community Annotation]","A0A182HE32","aal-miR-927-3p",-17.82,2657,2676,160
"AALF024703-RA","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182H9I6]","A0A023ESD2,A0A023EU11,A0A023EU71,A0A023EUP7,A0A182H9I6","aal-miR-927-3p",-15.61,73,90,159
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-927-3p",-17.95,26517,26535,157
"AALF006898-RA","leucine rich repeat protein [Source:Projected from Aedes aegypti (AAEL003554) VB Community Annotation]","A0A023EPT7,A0A182GBE1,A0A1W7R6P9","aal-miR-927-3p",-15.92,871,889,156
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-927-3p",-15.83,12484,12503,156
"AALF004462-RA","ssm4 protein [Source:Projected from Aedes aegypti (AAEL009353) VB Community Annotation]","A0A182G786","aal-miR-927-3p",-15.43,4010,4028,156
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-927-3p",-14.64,8559,8577,154
"AALF010259-RA","phosphatidylinositol 3-kinase catalytic subunit alpha, beta, delta [Source:Projected from Aedes aegypti (AAEL002903) VB Community Annotation]","A0A182GI06","aal-miR-927-3p",-18.14,1051,1073,152
"AALF006348-RA","amino acids transporter [Source:Projected from Aedes aegypti lvpagwg (AAEL014161) VB Community Annotation]","A0A023ETB0,A0A182GAG3","aal-miR-927-3p",-17.14,234,256,152
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-927-3p",-16.4,3436,3454,152
"AALF016202-RA","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182GUY8]","A0A182GUY8","aal-miR-927-3p",-16.19,1614,1634,152
"AALF000855-RA","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182G1N5]","A0A023EWS1,A0A182G1N5,A0A1W7R5G6","aal-miR-927-3p",-16.18,1549,1569,152
"AALF004362-RA","rac serine/threonine kinase [Source:Projected from Aedes aegypti (AAEL008823) VB Community Annotation]","A0A182G722","aal-miR-927-3p",-18.76,1446,1463,151
"AALF012725-RA","Mucin-like peritrophin [Source:Projected from Aedes aegypti lvpagwg (AAEL004798) UniProtKB/TrEMBL;Acc:Q9GPU9]","A0A182GMZ1,A0A1W7R7I5","aal-miR-927-3p",-18.16,306,322,150
"AALF001509-RA","DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A182G2M3]","A0A182G2M3","aal-miR-927-3p",-17.51,9,28,150
"AALF015564-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023ES90]","A0A023ES90","aal-miR-927-3p",-15.39,157,175,150
"AALF027794-RA","DEAD box ATP-dependent RNA helicase [Source:Projected from Aedes aegypti (AAEL001317) VB Community Annotation]","A0A182HEC6","aal-miR-927-3p",-15.79,182,200,149
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-927-3p",-15.33,11841,11859,148
"AALF005153-RA","Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182G8G8]","A0A182G8G8","aal-miR-927-3p",-14.45,2512,2534,148
"AALF013228-RA","Putative microsomal glutathione s-transferase [Source:UniProtKB/TrEMBL;Acc:A0A023EFD8]","A0A023EFD8","aal-miR-927-3p",-16.29,84,102,147
"AALF013047-RA","neuralized [Source:Projected from Aedes aegypti (AAEL006062) VB Community Annotation]","A0A182GNN7","aal-miR-927-3p",-15.43,674,693,147
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-927-3p",-26.64,1159,1177,145
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-927-3p",-23.47,4411,4429,144
"AALF026419-RA","arginine/serine-rich splicing factor [Source:Projected from Aedes aegypti (AAEL012621) VB Community Annotation]","A0A023EPG1,A0A023EQ46,A0A182HC83","aal-miR-927-3p",-17.4,13,33,144
"AALF002317-RA","glucosyl/glucuronosyl transferases [Source:Projected from Aedes aegypti (AAEL003076) VB Community Annotation]","A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","aal-miR-927-3p",-15.75,137,155,144
"AALF012769-RA","aldehyde oxidase [Source:Projected from Aedes aegypti (AAEL010384) VB Community Annotation]","A0A182GN25","aal-miR-927-3p",-18.73,1106,1124,143
"AALF012680-RA","sin3a-associated protein sap130 [Source:Projected from Aedes aegypti (AAEL007252) VB Community Annotation]","A0A182GMV3","aal-miR-927-3p",-17.98,1021,1041,143
"AALF007886-RA","protein cactus (TOLL pathway signalling)","A0A023EQW0,A0A182GD72","aal-miR-927-3p",-16.13,66,89,143
"AALF016282-RA","protein cactus (TOLL pathway signalling)","A0A182GD72","aal-miR-927-3p",-16.13,66,89,143
"AALF026517-RA","GTP-binding protein sar1 [Source:Projected from Aedes aegypti (AAEL010012) VB Community Annotation]","A0A023EHF4,A0A182HCE3","aal-miR-927-3p",-14.71,487,505,143
"AALF019743-RA","myosin vii [Source:Projected from Aedes aegypti (AAEL008610) VB Community Annotation]","A0A182H1B4","aal-miR-927-3p",-17.26,67,85,142
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-927-3p",-19.77,3206,3224,141
"AALF005253-RA","Putative rna polymer [Source:UniProtKB/TrEMBL;Acc:A0A023EUH3]","A0A023EUH3","aal-miR-927-3p",-15.88,795,813,141
"AALF020920-RA","Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A023EQE1]","A0A023EQE1","aal-miR-927-3p",-15.07,1,18,141
"AALF007284-RA","alpha(1,3)fucosyltransferase [Source:Projected from Aedes aegypti (AAEL000244) VB Community Annotation]","A0A023EPZ7,A0A023ERG1,A0A182GC25","aal-miR-927-3p",-21.14,317,340,140
"AALF021374-RA","rhoGTPase [Source:Projected from Aedes aegypti (AAEL014636) VB Community Annotation]","A0A182H480","aal-miR-927-3p",-15.82,203,222,140
"AALF000617-RA","exonuclease nef-sp [Source:Projected from Aedes aegypti (AAEL006744) VB Community Annotation]","A0A023EVG1,A0A182G1E7","aal-miR-927-3p",-15.2,2503,2523,140
"AALF007937-RA","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","A0A182GDA5","aal-miR-927-3p",-14.03,5495,5514,140
"AALF019911-RA","Kelch-like protein diablo [Source:Projected from Aedes aegypti (AAEL010911) UniProtKB/Swiss-Prot;Acc:Q16RL8]","A0A023ETG5,A0A182H1L9","aal-miR-927-3p",-14,674,692,140
