"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-1174-3p",-28.77,15159,15183,166
"AALF027115-RA","poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]","A0A182HDC1","aal-miR-1174-3p",-23.24,6998,7019,164
"AALF024803-RA","enhancer of zeste, ezh [Source:Projected from Aedes aegypti (AAEL013213) VB Community Annotation]","A0A182H9M9","aal-miR-1174-3p",-19.77,298,318,162
"AALF023547-RA","Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A023EQ01]","A0A023EQ01","aal-miR-1174-3p",-28,9,32,159
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-1174-3p",-22.23,10325,10347,157
"AALF008418-RA","b-cell lymphoma/leukemia [Source:Projected from Aedes aegypti (AAEL002456) VB Community Annotation]","A0A182GE97","aal-miR-1174-3p",-23.38,32,51,156
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aal-miR-1174-3p",-21.24,8028,8049,155
"AALF008414-RA","Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A182GE93]","A0A182GE93","aal-miR-1174-3p",-16.84,1141,1162,153
"AALF018617-RA","DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182GZD4]","A0A182GZD4","aal-miR-1174-3p",-26.89,766,787,152
"AALF003245-RA","Protein distal antenna [Source:Projected from Aedes aegypti (AAEL013733) VB Community Annotation]","A0A182G598","aal-miR-1174-3p",-22.09,160,179,152
"AALF020998-RA","phosphatidylethanolamine-binding protein [Source:Projected from Aedes aegypti (AAEL012955) VB Community Annotation]","A0A182H3L7","aal-miR-1174-3p",-19.27,60,81,152
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-1174-3p",-17.96,22364,22385,152
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-1174-3p",-21.49,27495,27515,151
"AALF016189-RA","WD-repeat protein [Source:Projected from Aedes aegypti (AAEL015199) VB Community Annotation]","A0A182GUX5","aal-miR-1174-3p",-18.72,4,25,151
"AALF011270-RA","cleavage and polyadenylation specificity factor cpsf [Source:Projected from Aedes aegypti (AAEL000832) VB Community Annotation]","A0A182GK16","aal-miR-1174-3p",-22.57,1136,1158,150
"AALF007937-RA","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","A0A182GDA5","aal-miR-1174-3p",-21.66,8627,8649,150
"AALF001772-RA","transmembrane protein 1/tmem1b [Source:Projected from Aedes aegypti (AAEL010796) VB Community Annotation]","A0A182G317","aal-miR-1174-3p",-19.07,210,233,150
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-1174-3p",-15.23,18704,18725,150
"AALF028181-RA","ubiquitin-conjugating enzyme E2-230k [Source:Projected from Aedes aegypti (AAEL006073) VB Community Annotation]","A0A182HEW6","aal-miR-1174-3p",-26.78,268,294,149
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-1174-3p",-22.01,26152,26172,149
