"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF020438-RA","serine protease htra2 [Source:Projected from Aedes aegypti (AAEL006373) VB Community Annotation]","A0A023ET05,A0A182H2K1","aal-miR-34-5p",-24.19,108,128,166
"AALF022363-RA","beta-1,4-galactosyltransferase [Source:Projected from Aedes aegypti (AAEL006426) VB Community Annotation]","A0A182H5W3","aal-miR-34-5p",-29.09,653,673,163
"AALF007520-RA","srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]","A0A182GCI0","aal-miR-34-5p",-28.89,10191,10216,162
"AALF023286-RA","protein-glutamine gamma-glutamyltransferase [Source:Projected from Aedes aegypti (AAEL006978) VB Community Annotation]","A0A182H7B1","aal-miR-34-5p",-25.1,457,478,162
"AALF008942-RA","Putative vacuolar assembly/sorting protein did2 [Source:UniProtKB/TrEMBL;Acc:A0A023EJE6]","A0A023EJE6","aal-miR-34-5p",-24.54,1795,1817,161
"AALF007997-RA","sugar transporter [Source:Projected from Aedes aegypti (AAEL014207) VB Community Annotation]","A0A182GDE4","aal-miR-34-5p",-23.89,362,383,160
"AALF021651-RA","Serine Protease Inhibitor (serpin)  likely cleavage at I/S. Transcript A. [Source:Projected from Aedes aegypti (AAEL013936) VB Community Annotation]","A0A023EVU3,A0A182H4P9","aal-miR-34-5p",-21.48,4500,4519,160
"AALF012725-RA","Mucin-like peritrophin [Source:Projected from Aedes aegypti lvpagwg (AAEL004798) UniProtKB/TrEMBL;Acc:Q9GPU9]","A0A182GMZ1,A0A1W7R7I5","aal-miR-34-5p",-27.05,467,487,159
"AALF021458-RA","brat protein [Source:Projected from Aedes aegypti lvpagwg (AAEL004918) VB Community Annotation]","A0A182H4D2","aal-miR-34-5p",-24.34,9002,9022,159
"AALF009526-RA","translation initiation factor eif-2b gamma subunit [Source:Projected from Aedes aegypti (AAEL011442) VB Community Annotation]","A0A182GGI8","aal-miR-34-5p",-24.14,170,190,159
"AALF000066-RA","peroxisomal n1-acetyl-spermine/spermidine oxidase [Source:Projected from Aedes aegypti lvpagwg (AAEL007523) VB Community Annotation]","A0A182G0L6","aal-miR-34-5p",-24.31,297,317,158
"AALF013111-RA","MICOS complex subunit MIC13 [Source:UniProtKB/TrEMBL;Acc:A0A023EFH1]","A0A023EDK2,A0A023EFH1","aal-miR-34-5p",-23.31,1915,1937,158
"AALF005731-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL002390) VB Community Annotation]","A0A182G9G0","aal-miR-34-5p",-24.39,951,970,157
"AALF007885-RA","Alpha-1,4 glucan phosphorylase [Source:UniProtKB/TrEMBL;Acc:A0A023EVY7]","A0A023EVY7","aal-miR-34-5p",-23.97,69,89,157
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-34-5p",-24.81,19128,19148,155
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-34-5p",-22.64,19382,19401,155
"AALF004132-RA","development and differentiation-enhancing factor, ddef [Source:Projected from Aedes aegypti (AAEL003487) VB Community Annotation]","A0A182G6N6","aal-miR-34-5p",-21.95,1447,1467,155
"AALF020473-RA","cdk4/6 [Source:Projected from Aedes aegypti (AAEL001407) VB Community Annotation]","A0A182H2N0","aal-miR-34-5p",-24.93,52,74,154
"AALF028417-RA","Farnesol dehydrogenase [Source:Projected from Aedes aegypti (AAEL017302) UniProtKB/Swiss-Prot;Acc:D2WKD9]","A0A023EKY6,A0A182HF88","aal-miR-34-5p",-21.43,549,566,154
"AALF007727-RA","adaptin, alpha/gamma/epsilon [Source:Projected from Aedes aegypti (AAEL004469) VB Community Annotation]","A0A182GJ46","aal-miR-34-5p",-21.41,1413,1433,154
"AALF014147-RA","Putative glutamate/leucine/phenylalanine/valine dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A023ETW6]","A0A023ESQ8,A0A023ETW6","aal-miR-34-5p",-25.67,822,843,153
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-34-5p",-24.07,4789,4809,153
"AALF017552-RA","Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182GXE6]","A0A182GXE6","aal-miR-34-5p",-25.33,1465,1484,152
"AALF014760-RA","alpha-1,2-Mannosidase [Source:UniProtKB/TrEMBL;Acc:A0A182GS33]","A0A182GS33,A0A1W7R8J6","aal-miR-34-5p",-23.18,2246,2266,152
"AALF003103-RA","inosine-uridine preferring nucleoside hydrolase [Source:Projected from Aedes aegypti lvpagwg (AAEL002176) VB Community Annotation]","A0A023ERR1,A0A182G521","aal-miR-34-5p",-23.29,486,506,151
"AALF019046-RA","prolyl endopeptidase (prolyl oligopeptidase) [Source:Projected from Aedes aegypti (AAEL009142) VB Community Annotation]","A0A182H044","aal-miR-34-5p",-16.68,984,1004,151
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-34-5p",-26.09,27703,27724,150
"AALF016604-RA","Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A182GVP0]","A0A023ETY4,A0A023EU01,A0A023EUC1,A0A023EWH8,A0A182GVP0","aal-miR-34-5p",-23.67,543,564,150
"AALF027416-RA","Alpha-1,4 glucan phosphorylase [Source:UniProtKB/TrEMBL;Acc:A0A182HDR9]","A0A182HDR9","aal-miR-34-5p",-20.28,78,98,150
"AALF013643-RA","Putative lipid particle [Source:UniProtKB/TrEMBL;Acc:A0A023EBM3]","A0A023EBM3,A0A023EDE2,Q5MIP8","aal-miR-34-5p",-17.36,85,106,148
"AALF013274-RA","cyclin [Source:Projected from Aedes aegypti (AAEL001751) VB Community Annotation]","A0A023EK93,A0A182GP49","aal-miR-34-5p",-27.52,183,203,147
"AALF002317-RA","glucosyl/glucuronosyl transferases [Source:Projected from Aedes aegypti (AAEL003076) VB Community Annotation]","A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","aal-miR-34-5p",-22.08,14856,14876,147
"AALF001034-RA","Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A182G1W4]","A0A182G1W4","aal-miR-34-5p",-20.83,6776,6796,147
