"mRNA","transcript_product_descrip","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AALF026429-RA","Dolichol phosphate-mannose biosynthesis regulatory protein [Source:UniProtKB/TrEMBL;Acc:A0A182HC90]","A0A182HC90","aal-miR-12-5p",-20.81,5159,5180,174
"AALF017793-RA","circadian protein clock/arnt/bmal/pas [Source:Projected from Aedes aegypti (AAEL002049) VB Community Annotation]","A0A023EV26,A0A182GXV2","aal-miR-12-5p",-19.38,17419,17442,165
"AALF007937-RA","ubiquitin specific protease [Source:Projected from Aedes aegypti (AAEL010184) VB Community Annotation]","A0A182GDA5","aal-miR-12-5p",-16.37,3070,3091,163
"AALF003215-RA","ATP-dependent 6-phosphofructokinase [Source:UniProtKB/TrEMBL;Acc:A0A023EV74]","A0A023ER48,A0A023EV74","aal-miR-12-5p",-19.8,261,286,160
"AALF011446-RA","caspase (short) [Source:Projected from Aedes aegypti lvpagwg (AAEL014348) VB Community Annotation]","A0A023EL21,A0A182GKE2","aal-miR-12-5p",-19.94,37,58,159
"AALF013836-RA","acyl-CoA oxidase [Source:Projected from Aedes aegypti (AAEL000735) VB Community Annotation]","A0A182GQA0","aal-miR-12-5p",-18.29,19778,19799,159
"AALF004459-RA","myosin v [Source:Projected from Aedes aegypti (AAEL009357) VB Community Annotation]","A0A182G783","aal-miR-12-5p",-15.81,360,381,159
"AALF011190-RA","4-aminobutyrate aminotransferase [Source:Projected from Aedes aegypti (AAEL012609) VB Community Annotation]","A0A182GJV0","aal-miR-12-5p",-14.96,255,276,158
"AALF011128-RA","Mitochondrial GTPase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182GJQ3]","A0A182GJQ3","aal-miR-12-5p",-22.61,560,582,157
"AALF010259-RA","phosphatidylinositol 3-kinase catalytic subunit alpha, beta, delta [Source:Projected from Aedes aegypti (AAEL002903) VB Community Annotation]","A0A182GI06","aal-miR-12-5p",-21.98,1433,1455,157
"AALF019397-RA","Putative reticulocalbin calumenin dna supercoiling factor [Source:UniProtKB/TrEMBL;Acc:A0A023EQT3]","A0A023EQT3","aal-miR-12-5p",-14.74,88,111,157
"AALF018906-RA","zinc finger protein [Source:Projected from Aedes aegypti (AAEL009508) VB Community Annotation]","A0A023ELK8,A0A182GZU4,A0A1W7R6A9","aal-miR-12-5p",-14.45,297,322,156
"AALF016238-RA","valyl-tRNA synthetase [Source:Projected from Aedes aegypti (AAEL004327) VB Community Annotation]","A0A182GV15","aal-miR-12-5p",-19.61,1468,1494,155
"AALF012021-RA","Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023ETW7]","A0A023ETW7","aal-miR-12-5p",-18.15,747,769,154
"AALF002317-RA","glucosyl/glucuronosyl transferases [Source:Projected from Aedes aegypti (AAEL003076) VB Community Annotation]","A0A023ETG1,A0A182G3U1,A0A1W7R8D2,A0A1W7R8H3,A0A1W7R8K9","aal-miR-12-5p",-15.52,246,268,154
"AALF008758-RA","poly(a) polymerase cid (pap) (caffein-induced death protein) [Source:Projected from Aedes aegypti (AAEL006249) VB Community Annotation]","A0A182GEY8","aal-miR-12-5p",-14.58,890,912,154
"AALF002219-RA","Putative splicing factor [Source:UniProtKB/TrEMBL;Acc:A0A023EIZ6]","A0A023EIZ6","aal-miR-12-5p",-16.37,6493,6515,153
"AALF008785-RA","srpk [Source:Projected from Aedes aegypti (AAEL008507) VB Community Annotation]","A0A023ETU3,A0A182GF10","aal-miR-12-5p",-15.99,17491,17513,153
"AALF007245-RA","Hedgehog protein [Source:UniProtKB/TrEMBL;Acc:A0A182GC01]","A0A182GC01","aal-miR-12-5p",-26.58,580,605,152
"AALF013217-RA","Putative nucleoplasmin [Source:UniProtKB/TrEMBL;Acc:A0A023EI43]","A0A023EI43","aal-miR-12-5p",-15.06,13,35,152
"AALF028549-RA","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182HFF5]","A0A182HFF5","aal-miR-12-5p",-14.68,85,109,152
"AALF015582-RA","retinaldehyde binding protein [Source:Projected from Aedes aegypti (AAEL005701) VB Community Annotation]","A0A182GTN5","aal-miR-12-5p",-18.6,17245,17270,151
"AALF004137-RA","mitochondrial intermediate peptidase [Source:Projected from Aedes aegypti (AAEL003461) VB Community Annotation]","A0A182G6P1","aal-miR-12-5p",-17.09,122,143,151
"AALF011691-RA","Putative cyclin y [Source:UniProtKB/TrEMBL;Acc:A0A023ERC2]","A0A023ERC2","aal-miR-12-5p",-18.09,521,546,150
"AALF021809-RA","serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL000217) VB Community Annotation]","A0A182H4Y9","aal-miR-12-5p",-17.18,508,528,150
"AALF022521-RA","Coronin [Source:UniProtKB/TrEMBL;Acc:A0A182H655]","A0A182H655","aal-miR-12-5p",-16.17,9668,9690,149
"AALF001101-RA","Putative e3 ubiquitin ligase cullin 1 component [Source:UniProtKB/TrEMBL;Acc:A0A023EW24]","A0A023EW24","aal-miR-12-5p",-15.49,1,19,149
"AALF003693-RA","protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]","A0A182G5Y8","aal-miR-12-5p",-15.29,3698,3720,149
"AALF019571-RA","anaphase-promoting complex subunit [Source:Projected from Aedes aegypti (AAEL001756) VB Community Annotation]","A0A182H121","aal-miR-12-5p",-17.77,138,161,148
"AALF007802-RA","Putative rrm motif-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A023ELN1]","A0A023ELN1","aal-miR-12-5p",-17.63,301,323,147
